field_name,value,count,percent_of_positions
Office,Public Health Advancement Branch,321,87.7
Office,Office of Policy & Partnerships,10,2.73
Office,Office of Informatics,8,2.19
Office,Office of Program Management & Operations,8,2.19
Office,Office of Strategy & Innovation,5,1.37
Office,Office of Communications,4,1.09
Office,Office of the Director,1,0.27
Office,Office of the Deputy Director,1,0.27
Office,Office of the Deputy Director for Program Management & Operations,1,0.27
Office,Office of Training & Workforce Development,1,0.27
Office,Branch A,1,0.27
Office,Branch B,1,0.27
Office,Branch C,1,0.27
Office,Branch D,1,0.27
Office,Branch E,1,0.27
Office,Branch F,1,0.27
DPHA Branch,Branch A,55,15.03
DPHA Branch,Branch E,55,15.03
DPHA Branch,Branch F,55,15.03
DPHA Branch,Branch B,54,14.75
DPHA Branch,Branch C,54,14.75
DPHA Branch,Branch D,54,14.75
DPHA Branch, -,39,10.66
DPHA Team, -,39,10.66
DPHA Team,Team 20,9,2.46
DPHA Team,Team 8,9,2.46
DPHA Team,Team 9,9,2.46
DPHA Team,Team 14,9,2.46
DPHA Team,Team 15,9,2.46
DPHA Team,Team 16,9,2.46
DPHA Team,Team 17,9,2.46
DPHA Team,Team 18,9,2.46
DPHA Team,Team 21,9,2.46
DPHA Team,Team 10,9,2.46
DPHA Team,Team 25,9,2.46
DPHA Team,Team 26,9,2.46
DPHA Team,Team 27,9,2.46
DPHA Team,Team 28,9,2.46
DPHA Team,Team 32,9,2.46
DPHA Team,Team 33,9,2.46
DPHA Team,Team 34,9,2.46
DPHA Team,Team 12,9,2.46
DPHA Team,Team 11,9,2.46
DPHA Team,Team 6,9,2.46
DPHA Team,Team 1,9,2.46
DPHA Team,Team 24,9,2.46
DPHA Team,Team 31,9,2.46
DPHA Team,Team 22,9,2.46
DPHA Team,Team 23,9,2.46
DPHA Team,Team 30,9,2.46
DPHA Team,Team 36,9,2.46
DPHA Team,Team 29,9,2.46
DPHA Team,Team 2,9,2.46
DPHA Team,Team 3,9,2.46
DPHA Team,Team 4,9,2.46
DPHA Team,Team 5,9,2.46
DPHA Team,Team 35,9,2.46
DPHA Team,Team 13,8,2.19
DPHA Team,Team 19,8,2.19
DPHA Team,Team 7,8,2.19
DPHA Team,Branch A,1,0.27
DPHA Team,Branch F,1,0.27
DPHA Team,Branch E,1,0.27
DPHA Team,Branch D,1,0.27
DPHA Team,Branch C,1,0.27
DPHA Team,Branch B,1,0.27
Position Title,Public Health Senior Analyst,187,51.09
Position Title,Public Health Junior Analyst,98,26.78
Position Title,Public Health Team Lead,36,9.84
Position Title,Policy & Partnerships Specialist,9,2.46
Position Title,Informatics Specialist,7,1.91
Position Title,Program Management & Operations Analyst,7,1.91
Position Title,Public Health Branch Chief,6,1.64
Position Title,Strategy & Innovation Analyst,4,1.09
Position Title,Communications Analyst,3,0.82
Position Title,Training & Workforce Development Team Lead,1,0.27
Position Title,Strategy & Innovation Team Lead,1,0.27
Position Title,Director,1,0.27
Position Title,Deputy Director,1,0.27
Position Title,Policy & Partnerships Team Lead,1,0.27
Position Title,Informatics Team Lead,1,0.27
Position Title,Communications Team Lead,1,0.27
Position Title,Deputy Director for Program Management & Operations,1,0.27
Position Title,Program Management & Operations Team Lead,1,0.27
GS Paygrade,GS-12,194,53.01
GS Paygrade,GS-13,86,23.5
GS Paygrade,GS-14,42,11.48
GS Paygrade,GS-10,19,5.19
GS Paygrade,GS-15,10,2.73
GS Paygrade,GS-11,9,2.46
GS Paygrade,GS-09,6,1.64
Occupied or Vacant Position,Occupied,329,89.89
Occupied or Vacant Position,Vacant,37,10.11
