segment_type,segment_value,authorized_positions,occupied_positions,vacant_positions,vacant_authorized_payroll,avg_vacant_salary,vacancy_rate
DPHA Branch,Branch B,54,44,10,1071610,107161.0,18.52
DPHA Branch, -,39,32,7,793218,113316.86,17.95
DPHA Branch,Branch D,54,49,5,485430,97086.0,9.26
DPHA Branch,Branch A,55,50,5,474259,94851.8,9.09
DPHA Branch,Branch F,55,50,5,546254,109250.8,9.09
DPHA Branch,Branch C,54,50,4,372660,93165.0,7.41
DPHA Branch,Branch E,55,54,1,99128,99128.0,1.82
DPHA Team, -,39,32,7,793218,113316.86,17.95
DPHA Team,Team 10,9,6,3,337549,112516.33,33.33
DPHA Team,Team 12,9,6,3,297384,99128.0,33.33
DPHA Team,Team 13,8,6,2,174404,87202.0,25.0
DPHA Team,Team 2,9,7,2,238421,119210.5,22.22
DPHA Team,Branch F,1,0,1,163845,163845.0,100.0
DPHA Team,Team 19,8,7,1,117875,117875.0,12.5
DPHA Team,Team 7,8,7,1,139293,139293.0,12.5
DPHA Team,Team 11,9,8,1,99128,99128.0,11.11
DPHA Team,Team 16,9,8,1,99128,99128.0,11.11
DPHA Team,Team 17,9,8,1,99128,99128.0,11.11
DPHA Team,Team 20,9,8,1,117875,117875.0,11.11
DPHA Team,Team 21,9,8,1,75276,75276.0,11.11
DPHA Team,Team 23,9,8,1,75276,75276.0,11.11
DPHA Team,Team 24,9,8,1,99128,99128.0,11.11
DPHA Team,Team 30,9,8,1,99128,99128.0,11.11
DPHA Team,Team 32,9,8,1,82703,82703.0,11.11
DPHA Team,Team 33,9,8,1,82703,82703.0,11.11
DPHA Team,Team 34,9,8,1,99128,99128.0,11.11
DPHA Team,Team 36,9,8,1,117875,117875.0,11.11
DPHA Team,Team 4,9,8,1,68355,68355.0,11.11
DPHA Team,Team 5,9,8,1,68355,68355.0,11.11
DPHA Team,Team 6,9,8,1,99128,99128.0,11.11
DPHA Team,Team 8,9,8,1,99128,99128.0,11.11
DPHA Team,Team 9,9,8,1,99128,99128.0,11.11
DPHA Team,Branch A,1,1,0,0,,0.0
DPHA Team,Branch B,1,1,0,0,,0.0
DPHA Team,Branch C,1,1,0,0,,0.0
DPHA Team,Branch D,1,1,0,0,,0.0
DPHA Team,Branch E,1,1,0,0,,0.0
DPHA Team,Team 1,9,9,0,0,,0.0
DPHA Team,Team 14,9,9,0,0,,0.0
DPHA Team,Team 15,9,9,0,0,,0.0
DPHA Team,Team 18,9,9,0,0,,0.0
DPHA Team,Team 22,9,9,0,0,,0.0
DPHA Team,Team 25,9,9,0,0,,0.0
DPHA Team,Team 26,9,9,0,0,,0.0
DPHA Team,Team 27,9,9,0,0,,0.0
DPHA Team,Team 28,9,9,0,0,,0.0
DPHA Team,Team 29,9,9,0,0,,0.0
DPHA Team,Team 3,9,9,0,0,,0.0
DPHA Team,Team 31,9,9,0,0,,0.0
DPHA Team,Team 35,9,9,0,0,,0.0
GS Paygrade,GS-12,194,175,19,1886348,99281.47,9.79
GS Paygrade,GS-13,86,80,6,707250,117875.0,6.98
GS Paygrade,GS-14,42,38,4,557172,139293.0,9.52
GS Paygrade,GS-10,19,16,3,225828,75276.0,15.79
GS Paygrade,GS-09,6,4,2,136710,68355.0,33.33
GS Paygrade,GS-11,9,7,2,165406,82703.0,22.22
GS Paygrade,GS-15,10,9,1,163845,163845.0,10.0
Office,Public Health Advancement Branch,321,292,29,2885496,99499.86,9.03
Office,Office of Policy & Partnerships,10,7,3,352127,117375.67,30.0
Office,Office of Informatics,8,6,2,235750,117875.0,25.0
Office,Branch F,1,0,1,163845,163845.0,100.0
Office,Office of Communications,4,3,1,117875,117875.0,25.0
Office,Office of Strategy & Innovation,5,4,1,87466,87466.0,20.0
Office,Branch A,1,1,0,0,,0.0
Office,Branch B,1,1,0,0,,0.0
Office,Branch C,1,1,0,0,,0.0
Office,Branch D,1,1,0,0,,0.0
Office,Branch E,1,1,0,0,,0.0
Office,Office of Program Management & Operations,8,8,0,0,,0.0
Office,Office of Training & Workforce Development,1,1,0,0,,0.0
Office,Office of the Deputy Director,1,1,0,0,,0.0
Office,Office of the Deputy Director for Program Management & Operations,1,1,0,0,,0.0
Office,Office of the Director,1,1,0,0,,0.0
Position Title,Public Health Senior Analyst,187,172,15,1543161,102877.4,8.02
Position Title,Public Health Junior Analyst,98,87,11,924456,84041.45,11.22
Position Title,Public Health Team Lead,36,33,3,417879,139293.0,8.33
Position Title,Informatics Specialist,7,5,2,235750,117875.0,28.57
Position Title,Policy & Partnerships Specialist,9,7,2,212834,106417.0,22.22
Position Title,Policy & Partnerships Team Lead,1,0,1,139293,139293.0,100.0
Position Title,Communications Analyst,3,2,1,117875,117875.0,33.33
Position Title,Strategy & Innovation Analyst,4,3,1,87466,87466.0,25.0
Position Title,Public Health Branch Chief,6,5,1,163845,163845.0,16.67
Position Title,Communications Team Lead,1,1,0,0,,0.0
Position Title,Deputy Director,1,1,0,0,,0.0
Position Title,Deputy Director for Program Management & Operations,1,1,0,0,,0.0
Position Title,Director,1,1,0,0,,0.0
Position Title,Informatics Team Lead,1,1,0,0,,0.0
Position Title,Program Management & Operations Analyst,7,7,0,0,,0.0
Position Title,Program Management & Operations Team Lead,1,1,0,0,,0.0
Position Title,Strategy & Innovation Team Lead,1,1,0,0,,0.0
Position Title,Training & Workforce Development Team Lead,1,1,0,0,,0.0
